plan_key,state,plan_name,established,status,reporting_year,as_of,funded,assets_m,active_accounts,accounts_since_inception,paid_out_fy_m,paid_out_inception_m,source,note,sort
AK,AK,Alaska 529 (Prepaid),1991,Open,2005,,1.0,36.3,13322.0,,,,CSPN quarterly workbooks (FY05-FY15 series),,1
AK,AK,Alaska 529 (Prepaid),1991,Open,2006,,1.0,37.9,14126.0,,,,CSPN quarterly workbooks (FY05-FY15 series),,1
AK,AK,Alaska 529 (Prepaid),1991,Open,2007,,1.0,44.0,14720.0,,,,CSPN quarterly workbooks (FY05-FY15 series),,1
AK,AK,Alaska 529 (Prepaid),1991,Open,2008,,1.0,46.3,15948.0,,,,CSPN quarterly workbooks (FY05-FY15 series),,1
AK,AK,Alaska 529 (Prepaid),1991,Open,2009,,1.0,44.9,15943.0,,,,CSPN quarterly workbooks (FY05-FY15 series),,1
AK,AK,Alaska 529 (Prepaid),1991,Open,2010,,1.0,51.8,16089.0,,,,CSPN quarterly workbooks (FY05-FY15 series),,1
AK,AK,Alaska 529 (Prepaid),1991,Open,2011,,1.0,61.09,16616.0,,,,CSPN quarterly workbooks (FY05-FY15 series),,1
AK,AK,Alaska 529 (Prepaid),1991,Open,2012,,1.0,66.71,16997.0,,,,CSPN quarterly workbooks (FY05-FY15 series),,1
AK,AK,Alaska 529 (Prepaid),1991,Open,2013,,1.0,74.48,18976.0,,,,CSPN quarterly workbooks (FY05-FY15 series),,1
AK,AK,Alaska 529 (Prepaid),1991,Open,2014,,1.0,85.4,21770.0,,,,CSPN quarterly workbooks (FY05-FY15 series),,1
AK,AK,Alaska 529 (Prepaid),1991,Open,2015,,1.0,94.63,23330.0,,,,CSPN quarterly workbooks (FY05-FY15 series),,1
AK,AK,Alaska 529 (Prepaid),1991,Open,2018,,1.0,118.0,23202.0,29258.0,13.9,,CSPN one-pager 2018,,1
AK,AK,Alaska 529 (Prepaid),1991,Open,2020,,1.0,142.0,22513.0,50043.0,14.6,,CSPN one-pager 2020,,1
AK,AK,Alaska 529 (Prepaid),1991,Open,2021,,1.0,166.6,25014.0,57992.0,14.8,,CSPN one-pager 2021,,1
AK,AK,Alaska 529 (Prepaid),1991,Open,2022,6.30.22,1.0,147.6,23966.0,61026.0,17.1,,CSPN Prepaid Committee Fall 2022,,1
AK,AK,Alaska 529 (Prepaid),1991,Open,2023,2023-06-30,,167.0,26751.0,63709.0,12.3,,CSPN Prepaid Committee Fall 2023,,1
AK,AK,Alaska 529 (Prepaid),1991,Open,2024,N/A,,183.0,27158.0,65611.0,12.9,,CSPN Prepaid Committee Fall 2024,,1
